num_games: 10000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 7907 wins, 2093 losses. | Share: 0.790700 | #2 SimpleAgent: 2093 wins, 7907 losses. | Share: 0.209300 |  | QLearning score: 58140 
num_games: 10000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 8895 wins, 1105 losses. | Share: 0.889500 | #2 SimpleAgent: 1105 wins, 8895 losses. | Share: 0.110500 |  | QLearning score: 77900 
num_games: 10000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 9215 wins, 785 losses. | Share: 0.921500 | #2 SimpleAgent: 785 wins, 9215 losses. | Share: 0.078500 |  | QLearning score: 84300 
num_games: 10000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 9251 wins, 749 losses. | Share: 0.925100 | #2 SimpleAgent: 749 wins, 9251 losses. | Share: 0.074900 |  | QLearning score: 85020 
num_games: 20000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 19149 wins, 851 losses. | Share: 0.957450 | #2 SimpleAgent: 851 wins, 19149 losses. | Share: 0.042550 |  | QLearning score: 182980 
num_games: 20000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 19033 wins, 967 losses. | Share: 0.951650 | #2 SimpleAgent: 967 wins, 19033 losses. | Share: 0.048350 |  | QLearning score: 180660 
num_games: 20000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 19396 wins, 604 losses. | Share: 0.969800 | #2 SimpleAgent: 604 wins, 19396 losses. | Share: 0.030200 |  | QLearning score: 187920 
num_games: 20000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 19256 wins, 744 losses. | Share: 0.962800 | #2 SimpleAgent: 744 wins, 19256 losses. | Share: 0.037200 |  | QLearning score: 185120 
num_games: 30000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 29006 wins, 994 losses. | Share: 0.966867 | #2 SimpleAgent: 994 wins, 29006 losses. | Share: 0.033133 |  | QLearning score: 280120 
num_games: 30000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 29271 wins, 729 losses. | Share: 0.975700 | #2 SimpleAgent: 729 wins, 29271 losses. | Share: 0.024300 |  | QLearning score: 285420 
num_games: 30000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 29188 wins, 812 losses. | Share: 0.972933 | #2 SimpleAgent: 812 wins, 29188 losses. | Share: 0.027067 |  | QLearning score: 283760 
num_games: 30000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 29388 wins, 612 losses. | Share: 0.979600 | #2 SimpleAgent: 612 wins, 29388 losses. | Share: 0.020400 |  | QLearning score: 287760 
num_games: 40000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 38694 wins, 1306 losses. | Share: 0.967350 | #2 SimpleAgent: 1306 wins, 38694 losses. | Share: 0.032650 |  | QLearning score: 373880 
num_games: 40000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39040 wins, 960 losses. | Share: 0.976000 | #2 SimpleAgent: 960 wins, 39040 losses. | Share: 0.024000 |  | QLearning score: 380800 
num_games: 40000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39258 wins, 742 losses. | Share: 0.981450 | #2 SimpleAgent: 742 wins, 39258 losses. | Share: 0.018550 |  | QLearning score: 385160 
num_games: 40000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 39311 wins, 689 losses. | Share: 0.982775 | #2 SimpleAgent: 689 wins, 39311 losses. | Share: 0.017225 |  | QLearning score: 386220 
num_games: 50000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 48346 wins, 1654 losses. | Share: 0.966920 | #2 SimpleAgent: 1654 wins, 48346 losses. | Share: 0.033080 |  | QLearning score: 466920 
num_games: 50000, alpha: 0.4, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 49302 wins, 698 losses. | Share: 0.986040 | #2 SimpleAgent: 698 wins, 49302 losses. | Share: 0.013960 |  | QLearning score: 486040 
num_games: 50000, alpha: 0.6, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 49308 wins, 692 losses. | Share: 0.986160 | #2 SimpleAgent: 692 wins, 49308 losses. | Share: 0.013840 |  | QLearning score: 486160 
num_games: 50000, alpha: 0.8, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 48820 wins, 1180 losses. | Share: 0.976400 | #2 SimpleAgent: 1180 wins, 48820 losses. | Share: 0.023600 |  | QLearning score: 476400 
num_games: 60000, alpha: 0.2, gamma: 0.2, epsilon: 0.2
#1 QLearningAgent: 58951 wins, 1049 losses. | Share: 0.982517 | #2 SimpleAgent: 1049 wins, 58951 losses. | Share: 0.017483 |  | QLearning score: 579020 
